Name,Value,Class
bad_any,10080x1,logical
bad_i,10080x1,logical
bad_init,10080x1,logical
bad_other,10080x1,logical
beta,57x1,double
data,10080x27,table
data_clean,9278x16,table
diagDir,1x9,char
fig,1x1,matlab.ui.Figure
h1,1x1,matlab.graphics.chart.primitive.Scatter
h2,1x1,matlab.graphics.chart.primitive.Scatter
h3,1x1,matlab.graphics.chart.primitive.Scatter
i,13,double
k,28,double
kept,10080x1,logical
labels,1x15,cell
mov_abs_z,10080x1,double
n,10080,double
nBad,0,double
nHarm,28,double
nVar,13,double
ok,10080x1,logical
ok2,10080x1,logical
outDir,1x9,char
res,10080x1,double
sigma,41.0081,double
sigma0,41.6373,double
T,168,double
t,10080x1,datetime
t_clean,9278x1,datetime
t_hours,10080x1,double
t_orig,10080x1,datetime
varNames,1x13,cell
varNames_plot,1x15,cell
win,60,double
X,10080x57,double
y,10080x1,double
y_fit,10080x1,double
z,10080x1,double
z_all,10080x13,double
