,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000,-0.1294,-0.0780,-0.1230,-0.1230,-0.0654,-0.0684,-0.0502,-0.0429,-0.2286,-0.2239,-0.0866,-0.0110
C,-0.1294,1.0000,0.0276,0.1257,0.1221,-0.0534,-0.0469,-0.2609,-0.2615,-0.2601,-0.2620,0.1859,-0.0002
Q,-0.0780,0.0276,1.0000,0.1208,0.1185,-0.0863,-0.0806,-0.2193,-0.2078,-0.1521,-0.1530,0.1402,-0.0142
U_1,-0.1230,0.1257,0.1208,1.0000,0.8014,0.3326,0.3406,-0.1652,-0.1745,-0.5172,-0.5283,0.9047,0.0019
U_2,-0.1230,0.1221,0.1185,0.8014,1.0000,0.3365,0.3426,-0.1601,-0.1652,-0.5128,-0.5223,0.9036,-0.0091
U_3,-0.0654,-0.0534,-0.0863,0.3326,0.3365,1.0000,0.6867,0.4882,0.4976,-0.2716,-0.2753,0.4687,0.0062
U_4,-0.0684,-0.0469,-0.0806,0.3406,0.3426,0.6867,1.0000,0.4861,0.4859,-0.2820,-0.2835,0.4777,-0.0021
T_1,-0.0502,-0.2609,-0.2193,-0.1652,-0.1601,0.4882,0.4861,1.0000,0.6805,0.1922,0.1880,-0.2139,0.0023
T_2,-0.0429,-0.2615,-0.2078,-0.1745,-0.1652,0.4976,0.4859,0.6805,1.0000,0.1980,0.1913,-0.2175,0.0019
T_3,-0.2286,-0.2601,-0.1521,-0.5172,-0.5128,-0.2716,-0.2820,0.1922,0.1980,1.0000,0.7313,-0.6407,-0.0048
T_4,-0.2239,-0.2620,-0.1530,-0.5283,-0.5223,-0.2753,-0.2835,0.1880,0.1913,0.7313,1.0000,-0.6474,-0.0088
P,-0.0866,0.1859,0.1402,0.9047,0.9036,0.4687,0.4777,-0.2139,-0.2175,-0.6407,-0.6474,1.0000,-0.0006
\eta,-0.0110,-0.0002,-0.0142,0.0019,-0.0091,0.0062,-0.0021,0.0023,0.0019,-0.0048,-0.0088,-0.0006,1.0000
