,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000,-0.1261,-0.0798,-0.0969,-0.0950,-0.0716,-0.0739,-0.1181,-0.1128,-0.1719,-0.1651,-0.0481,-0.1268
C,-0.1261,1.0000,0.0398,0.1323,0.1293,-0.0529,-0.0488,-0.2386,-0.2374,-0.2294,-0.2262,0.1925,0.9895
Q,-0.0798,0.0398,1.0000,0.1268,0.1246,-0.0893,-0.0821,-0.2023,-0.1897,-0.1338,-0.1360,0.1165,0.0371
U_1,-0.0969,0.1323,0.1268,1.0000,0.8034,0.3506,0.3570,-0.1426,-0.1528,-0.5753,-0.5837,0.9001,0.1313
U_2,-0.0950,0.1293,0.1246,0.8034,1.0000,0.3563,0.3610,-0.1358,-0.1405,-0.5707,-0.5772,0.8999,0.1264
U_3,-0.0716,-0.0529,-0.0893,0.3506,0.3563,1.0000,0.7035,0.4878,0.4965,-0.2938,-0.2993,0.4840,-0.0520
U_4,-0.0739,-0.0488,-0.0821,0.3570,0.3610,0.7035,1.0000,0.4831,0.4842,-0.3042,-0.3079,0.4930,-0.0492
T_1,-0.1181,-0.2386,-0.2023,-0.1426,-0.1358,0.4878,0.4831,1.0000,0.6656,0.1930,0.1864,-0.1887,-0.2360
T_2,-0.1128,-0.2374,-0.1897,-0.1528,-0.1405,0.4965,0.4842,0.6656,1.0000,0.2002,0.1926,-0.1925,-0.2339
T_3,-0.1719,-0.2294,-0.1338,-0.5753,-0.5707,-0.2938,-0.3042,0.1930,0.2002,1.0000,0.6615,-0.6818,-0.2271
T_4,-0.1651,-0.2262,-0.1360,-0.5837,-0.5772,-0.2993,-0.3079,0.1864,0.1926,0.6615,1.0000,-0.6859,-0.2249
P,-0.0481,0.1925,0.1165,0.9001,0.8999,0.4840,0.4930,-0.1887,-0.1925,-0.6818,-0.6859,1.0000,0.1899
\eta,-0.1268,0.9895,0.0371,0.1313,0.1264,-0.0520,-0.0492,-0.2360,-0.2339,-0.2271,-0.2249,0.1899,1.0000
