,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000e+00,3.9492e-34,1.4492e-14,9.5327e-21,5.3384e-20,5.1920e-12,1.0689e-12,4.1074e-30,1.4060e-27,2.8433e-62,1.4447e-57,3.6719e-06,1.8717e-34
C,3.9492e-34,1.0000e+00,1.2940e-04,2.0097e-37,8.1384e-36,3.5216e-07,2.6373e-06,5.3691e-120,1.0445e-118,9.1733e-111,1.0482e-107,6.1218e-78,0.0000e+00
Q,1.4492e-14,1.2940e-04,1.0000e+00,1.8744e-34,2.5374e-33,7.7389e-18,2.5138e-15,4.9563e-86,9.4166e-76,3.2057e-38,1.8108e-39,2.4370e-29,3.5588e-04
U_1,9.5327e-21,2.0097e-37,1.8744e-34,1.0000e+00,0.0000e+00,8.8538e-266,2.7744e-276,2.9841e-43,1.9469e-49,0.0000e+00,0.0000e+00,0.0000e+00,7.3233e-37
U_2,5.3384e-20,8.1384e-36,2.5374e-33,0.0000e+00,1.0000e+00,4.6121e-275,6.4833e-283,2.4721e-39,5.2421e-42,0.0000e+00,0.0000e+00,0.0000e+00,2.9294e-34
U_3,5.1920e-12,3.5216e-07,7.7389e-18,8.8538e-266,4.6121e-275,1.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1604e-183,8.8282e-191,0.0000e+00,5.4728e-07
U_4,1.0689e-12,2.6373e-06,2.5138e-15,2.7744e-276,6.4833e-283,0.0000e+00,1.0000e+00,0.0000e+00,0.0000e+00,2.3942e-197,1.8679e-202,0.0000e+00,2.2038e-06
T_1,4.1074e-30,5.3691e-120,4.9563e-86,2.9841e-43,2.4721e-39,0.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,2.2966e-78,3.8145e-73,6.4087e-75,2.3663e-117
T_2,1.4060e-27,1.0445e-118,9.4166e-76,1.9469e-49,5.2421e-42,0.0000e+00,0.0000e+00,0.0000e+00,1.0000e+00,2.8572e-84,4.6696e-78,6.3193e-78,2.9265e-115
T_3,2.8433e-62,9.1733e-111,3.2057e-38,0.0000e+00,0.0000e+00,1.1604e-183,2.3942e-197,2.2966e-78,2.8572e-84,1.0000e+00,0.0000e+00,0.0000e+00,1.4886e-108
T_4,1.4447e-57,1.0482e-107,1.8108e-39,0.0000e+00,0.0000e+00,8.8282e-191,1.8679e-202,3.8145e-73,4.6696e-78,0.0000e+00,1.0000e+00,0.0000e+00,2.1604e-106
P,3.6719e-06,6.1218e-78,2.4370e-29,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.4087e-75,6.3193e-78,0.0000e+00,0.0000e+00,1.0000e+00,6.8031e-76
\eta,1.8717e-34,0.0000e+00,3.5588e-04,7.3233e-37,2.9294e-34,5.4728e-07,2.2038e-06,2.3663e-117,2.9265e-115,1.4886e-108,2.1604e-106,6.8031e-76,1.0000e+00
