,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000,0.0109,-0.0118,-0.3418,-0.3571,-0.0538,-0.0909,0.0922,0.0902,0.1717,0.1855,-0.3955,0.0108
C,0.0109,1.0000,0.0078,0.0186,0.0144,-0.1164,-0.1112,-0.1276,-0.1378,-0.0493,-0.0179,0.0185,0.9991
Q,-0.0118,0.0078,1.0000,0.6757,0.6817,-0.6700,-0.6751,-0.7243,-0.7237,-0.3689,-0.3768,0.6801,0.0092
U_1,-0.3418,0.0186,0.6757,1.0000,0.7604,-0.5831,-0.5476,-0.6973,-0.7076,-0.4367,-0.4639,0.8849,0.0188
U_2,-0.3571,0.0144,0.6817,0.7604,1.0000,-0.5685,-0.5480,-0.7059,-0.6967,-0.4187,-0.4429,0.8881,0.0142
U_3,-0.0538,-0.1164,-0.6700,-0.5831,-0.5685,1.0000,0.6534,0.6808,0.6881,0.3259,0.3265,-0.4843,-0.1167
U_4,-0.0909,-0.1112,-0.6751,-0.5476,-0.5480,0.6534,1.0000,0.6718,0.6684,0.3009,0.3049,-0.4504,-0.1114
T_1,0.0922,-0.1276,-0.7243,-0.6973,-0.7059,0.6808,0.6718,1.0000,0.7716,0.4307,0.4171,-0.7789,-0.1270
T_2,0.0902,-0.1378,-0.7237,-0.7076,-0.6967,0.6881,0.6684,0.7716,1.0000,0.4115,0.4177,-0.7775,-0.1378
T_3,0.1717,-0.0493,-0.3689,-0.4367,-0.4187,0.3259,0.3009,0.4307,0.4115,1.0000,0.2667,-0.4920,-0.0483
T_4,0.1855,-0.0179,-0.3768,-0.4639,-0.4429,0.3265,0.3049,0.4171,0.4177,0.2667,1.0000,-0.5057,-0.0182
P,-0.3955,0.0185,0.6801,0.8849,0.8881,-0.4843,-0.4504,-0.7789,-0.7775,-0.4920,-0.5057,1.0000,0.0183
\eta,0.0108,0.9991,0.0092,0.0188,0.0142,-0.1167,-0.1114,-0.1270,-0.1378,-0.0483,-0.0182,0.0183,1.0000
