,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000e+00,4.6583e-77,1.1381e-16,3.8243e-180,4.7330e-186,6.3453e-130,1.9159e-124,1.9112e-16,1.5533e-12,7.1955e-05,2.1183e-05,2.9717e-182,8.1710e-77
C,4.6583e-77,1.0000e+00,1.7829e-20,1.7616e-44,1.1522e-40,6.9976e-33,3.6556e-31,9.5196e-04,2.2221e-05,3.5176e-45,8.2398e-47,5.4239e-49,0.0000e+00
Q,1.1381e-16,1.7829e-20,1.0000e+00,3.7462e-99,1.3654e-111,1.6103e-66,1.4614e-63,1.2703e-25,2.3392e-23,1.5989e-11,6.6166e-14,1.7155e-84,1.5382e-20
U_1,3.8243e-180,1.7616e-44,3.7462e-99,1.0000e+00,0.0000e+00,5.2751e-192,1.4896e-171,6.7861e-02,1.1886e-02,3.8448e-65,1.9593e-67,0.0000e+00,1.6498e-44
U_2,4.7330e-186,1.1522e-40,1.3654e-111,0.0000e+00,1.0000e+00,2.4241e-198,1.4315e-191,3.8892e-01,2.3737e-01,2.4433e-63,3.3404e-63,0.0000e+00,8.1696e-41
U_3,6.3453e-130,6.9976e-33,1.6103e-66,5.2751e-192,2.4241e-198,1.0000e+00,1.4190e-133,4.8182e-06,5.3004e-05,2.5170e-32,3.4878e-26,0.0000e+00,6.1137e-33
U_4,1.9159e-124,3.6556e-31,1.4614e-63,1.4896e-171,1.4315e-191,1.4190e-133,1.0000e+00,9.7818e-03,1.0566e-02,4.5410e-36,5.0073e-31,0.0000e+00,2.6027e-31
T_1,1.9112e-16,9.5196e-04,1.2703e-25,6.7861e-02,3.8892e-01,4.8182e-06,9.7818e-03,1.0000e+00,1.2747e-106,6.5833e-99,3.1904e-110,7.1061e-18,8.7246e-04
T_2,1.5533e-12,2.2221e-05,2.3392e-23,1.1886e-02,2.3737e-01,5.3004e-05,1.0566e-02,1.2747e-106,1.0000e+00,5.1689e-112,6.2605e-105,2.2563e-17,2.3808e-05
T_3,7.1955e-05,3.5176e-45,1.5989e-11,3.8448e-65,2.4433e-63,2.5170e-32,4.5410e-36,6.5833e-99,5.1689e-112,1.0000e+00,0.0000e+00,1.5926e-102,5.2661e-45
T_4,2.1183e-05,8.2398e-47,6.6166e-14,1.9593e-67,3.3404e-63,3.4878e-26,5.0073e-31,3.1904e-110,6.2605e-105,0.0000e+00,1.0000e+00,1.4319e-94,1.3434e-46
P,2.9717e-182,5.4239e-49,1.7155e-84,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,7.1061e-18,2.2563e-17,1.5926e-102,1.4319e-94,1.0000e+00,3.6867e-49
\eta,8.1710e-77,0.0000e+00,1.5382e-20,1.6498e-44,8.1696e-41,6.1137e-33,2.6027e-31,8.7246e-04,2.3808e-05,5.2661e-45,1.3434e-46,3.6867e-49,1.0000e+00
