,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000,0.3499,-0.1602,0.5162,0.5234,0.4466,0.4380,0.1590,0.1369,-0.0771,-0.0826,0.5188,0.3494
C,0.3499,1.0000,0.1789,0.2672,0.2554,0.2292,0.2230,-0.0642,-0.0824,-0.2693,-0.2741,0.2804,0.9995
Q,-0.1602,0.1789,1.0000,-0.3943,-0.4166,-0.3259,-0.3188,-0.2014,-0.1919,-0.1305,-0.1450,-0.3656,0.1792
U_1,0.5162,0.2672,-0.3943,1.0000,0.7077,0.5305,0.5054,-0.0355,-0.0489,-0.3226,-0.3281,0.8381,0.2672
U_2,0.5234,0.2554,-0.4166,0.7077,1.0000,0.5379,0.5300,-0.0168,-0.0230,-0.3182,-0.3179,0.8340,0.2558
U_3,0.4466,0.2292,-0.3259,0.5305,0.5379,1.0000,0.4523,0.0888,0.0785,-0.2272,-0.2037,0.6811,0.2294
U_4,0.4380,0.2230,-0.3188,0.5054,0.5300,0.4523,1.0000,0.0502,0.0497,-0.2403,-0.2225,0.6821,0.2235
T_1,0.1590,-0.0642,-0.2014,-0.0355,-0.0168,0.0888,0.0502,1.0000,0.4079,0.3939,0.4142,-0.1664,-0.0647
T_2,0.1369,-0.0824,-0.1919,-0.0489,-0.0230,0.0785,0.0497,0.4079,1.0000,0.4173,0.4049,-0.1638,-0.0821
T_3,-0.0771,-0.2693,-0.1305,-0.3226,-0.3182,-0.2272,-0.2403,0.3939,0.4173,1.0000,0.6940,-0.4005,-0.2687
T_4,-0.0826,-0.2741,-0.1450,-0.3281,-0.3179,-0.2037,-0.2225,0.4142,0.4049,0.6940,1.0000,-0.3856,-0.2735
P,0.5188,0.2804,-0.3656,0.8381,0.8340,0.6811,0.6821,-0.1664,-0.1638,-0.4005,-0.3856,1.0000,0.2809
\eta,0.3494,0.9995,0.1792,0.2672,0.2558,0.2294,0.2235,-0.0647,-0.0821,-0.2687,-0.2735,0.2809,1.0000
